question,value,code_n,code_alternative,Label,code_question,notes,alternative_label
profile_education_age,1,,,15 or under,,,
profile_education_age,2,,,16,,,
profile_education_age,3,,,17-18,,,
profile_education_age,4,,,19,,,
profile_education_age,5,,,20+,,,
profile_education_age,6,,,Still at school/Full time student,,,
profile_education_age,7,,,Can't remember,,,
profile_education_age,97,,,Not applicable,,,
profile_education_age,98a,,,Skipped,,,
profile_education_age,99a,,,Not Asked,,,
profile_education_level,1,1,1,No formal qualifications,,No academic or professional qualifications,Level-0
profile_education_level,2,2,2,Youth training certificate/skillseekers,,"Professional training, apprenticeships or other professional qualifications",Professional
profile_education_level,3,3,2,Recognised trade apprenticeship completed,,"Professional training, apprenticeships or other professional qualifications",Professional
profile_education_level,4,4,2,Clerical and commercial,,"Professional training, apprenticeships or other professional qualifications",Professional
profile_education_level,5,5,2,City & Guilds certificate,,"Professional training, apprenticeships or other professional qualifications",Professional
profile_education_level,6,6,2,City & Guilds certificate - advanced,,"Professional training, apprenticeships or other professional qualifications",Professional
profile_education_level,7,7,4,ONC,,Advanced education (16-18 yr),Level-2
profile_education_level,8,8,3,CSE grades 2-5,,Education up to 16yr,Level-1
profile_education_level,9,9,3,"CSE grade 1, GCE O level, GCSE, School Certificate",,Education up to 16yr,Level-1
profile_education_level,10,10,3,Scottish Ordinary/ Lower Certificate,,Education up to 16yr,Level-1
profile_education_level,11,11,4,GCE A level or Higher Certificate,,Advanced education (16-18 yr),Level-2
profile_education_level,12,12,4,Scottish Higher Certificate,,Advanced education (16-18 yr),Level-2
profile_education_level,13,13,5,"Nursing qualification (e.g. SEN, SRN, SCM, RGN)",,"Undergraduate degree, University diploma or other University qualification",Level-3
profile_education_level,14,14,5,Teaching qualification (not degree),,"Undergraduate degree, University diploma or other University qualification",Level-3
profile_education_level,15,15,5,University diploma,,"Undergraduate degree, University diploma or other University qualification",Level-3
profile_education_level,16,16,5,"University or CNAA first degree (e.g. BA, B.Sc, B.Ed)",,"Undergraduate degree, University diploma or other University qualification",Level-3
profile_education_level,17,17,6,"University or CNAA higher degree (e.g. M.Sc, Ph.D)",,Postgraduate degree,Level-4
profile_education_level,18,18,7,"Other technical, professional or higher qualification",,Other,Other
profile_education_level,19,19,7,Don't know,,Other,Other
profile_education_level,20,20,7,Prefer not to say,,Other,Other
profile_education_level,98a,,,Skipped,,,
profile_education_level,99a,,,Not Asked,,,
profile_gender,1,,,Male,,,
profile_gender,2,,,Female,,,
profile_gender,8a,,,Skipped,,,
profile_gender,9a,,,Not Asked,,,
profile_gross_household,1,1,1,"under �5,000 per year",,,"Under £15,000"
profile_gross_household,2,2,1,"�5,000 to �9,999 per year",,,"Under £15,000"
profile_gross_household,3,3,1,"�10,000 to �14,999 per year",,,"Under £15,000"
profile_gross_household,4,4,2,"�15,000 to �19,999 per year",,,"£15,000 - £24,999"
profile_gross_household,5,5,2,"�20,000 to �24,999 per year",,,"£15,000 - £24,999"
profile_gross_household,6,6,3,"�25,000 to �29,999 per year",,,"£25,000 - £34,999 "
profile_gross_household,7,7,3,"�30,000 to �34,999 per year",,,"£25,000 - £34,999 "
profile_gross_household,8,8,4,"�35,000 to �39,999 per year",,,"£35,000 - £59,999  "
profile_gross_household,9,9,4,"�40,000 to �44,999 per year",,,"£35,000 - £59,999  "
profile_gross_household,10,10,4,"�45,000 to �49,999 per year",,,"£35,000 - £59,999  "
profile_gross_household,11,11,4,"�50,000 to �59,999 per year",,,"£35,000 - £59,999  "
profile_gross_household,12,12,5,"�60,000 to �69,999 per year",,,"£60,000 or over"
profile_gross_household,13,13,5,"�70,000 to �99,999 per year",,,"£60,000 or over"
profile_gross_household,14,14,5,"�100,000 to �149,999 per year",,,"£60,000 or over"
profile_gross_household,15,15,5,"�150,000 and over",,,"£60,000 or over"
profile_gross_household,16,16,6,Don't know,,,Prefer not to answer / don’t know
profile_gross_household,17,17,6,Prefer not to answer,,,Prefer not to answer / don’t know
profile_gross_household,98a,18,,Skipped,,,
profile_gross_household,99a,18,,Not Asked,,,
